CATEGORIE;EPREUVE;COEFFICIENT;
C1 : 25 - 29 ans;50 Nage Libre Dames;1.000;
C1 : 25 - 29 ans;50 Nage Libre Messieurs;1.000;
C1 : 25 - 29 ans;100 Nage Libre Dames;1.000;
C1 : 25 - 29 ans;100 Nage Libre Messieurs;1.000;
C1 : 25 - 29 ans;200 Nage Libre Dames;1.000;
C1 : 25 - 29 ans;200 Nage Libre Messieurs;1.000;
C1 : 25 - 29 ans;400 Nage Libre Dames;1.000;
C1 : 25 - 29 ans;400 Nage Libre Messieurs;1.000;
C1 : 25 - 29 ans;800 Nage Libre Dames;1.000;
C1 : 25 - 29 ans;800 Nage Libre Messieurs;1.000;
C1 : 25 - 29 ans;1500 Nage Libre Dames;1.000;
C1 : 25 - 29 ans;1500 Nage Libre Messieurs;1.000;
C1 : 25 - 29 ans;50 Dos Dames;1.000;
C1 : 25 - 29 ans;50 Dos Messieurs;1.000;
C1 : 25 - 29 ans;100 Dos Dames;1.000;
C1 : 25 - 29 ans;100 Dos Messieurs;1.000;
C1 : 25 - 29 ans;200 Dos Dames;1.000;
C1 : 25 - 29 ans;200 Dos Messieurs;1.000;
C1 : 25 - 29 ans;50 Brasse Dames;1.000;
C1 : 25 - 29 ans;50 Brasse Messieurs;1.000;
C1 : 25 - 29 ans;100 Brasse Dames;1.000;
C1 : 25 - 29 ans;100 Brasse Messieurs;1.000;
C1 : 25 - 29 ans;200 Brasse Dames;1.000;
C1 : 25 - 29 ans;200 Brasse Messieurs;1.000;
C1 : 25 - 29 ans;50 Papillon Dames;1.000;
C1 : 25 - 29 ans;50 Papillon Messieurs;1.000;
C1 : 25 - 29 ans;100 Papillon Dames;1.000;
C1 : 25 - 29 ans;100 Papillon Messieurs;1.000;
C1 : 25 - 29 ans;200 Papillon Dames;1.000;
C1 : 25 - 29 ans;200 Papillon Messieurs;1.000;
C1 : 25 - 29 ans;100 4 Nages Dames;1.000;
C1 : 25 - 29 ans;100 4 Nages Messieurs;1.000;
C1 : 25 - 29 ans;200 4 Nages Dames;1.000;
C1 : 25 - 29 ans;200 4 Nages Messieurs;1.000;
C1 : 25 - 29 ans;400 4 Nages Dames;1.000;
C1 : 25 - 29 ans;400 4 Nages Messieurs;1.000;
C2 : 30 - 34 ans;50 Nage Libre Dames;1.007;
C2 : 30 - 34 ans;50 Nage Libre Messieurs;1.006;
C2 : 30 - 34 ans;100 Nage Libre Dames;1.010;
C2 : 30 - 34 ans;100 Nage Libre Messieurs;1.006;
C2 : 30 - 34 ans;200 Nage Libre Dames;1.010;
C2 : 30 - 34 ans;200 Nage Libre Messieurs;1.007;
C2 : 30 - 34 ans;400 Nage Libre Dames;1.010;
C2 : 30 - 34 ans;400 Nage Libre Messieurs;1.006;
C2 : 30 - 34 ans;800 Nage Libre Dames;1.013;
C2 : 30 - 34 ans;800 Nage Libre Messieurs;1.005;
C2 : 30 - 34 ans;1500 Nage Libre Dames;1.015;
C2 : 30 - 34 ans;1500 Nage Libre Messieurs;1.003;
C2 : 30 - 34 ans;50 Dos Dames;1.012;
C2 : 30 - 34 ans;50 Dos Messieurs;1.011;
C2 : 30 - 34 ans;100 Dos Dames;1.014;
C2 : 30 - 34 ans;100 Dos Messieurs;1.013;
C2 : 30 - 34 ans;200 Dos Dames;1.014;
C2 : 30 - 34 ans;200 Dos Messieurs;1.012;
C2 : 30 - 34 ans;50 Brasse Dames;1.012;
C2 : 30 - 34 ans;50 Brasse Messieurs;1.006;
C2 : 30 - 34 ans;100 Brasse Dames;1.012;
C2 : 30 - 34 ans;100 Brasse Messieurs;1.006;
C2 : 30 - 34 ans;200 Brasse Dames;1.012;
C2 : 30 - 34 ans;200 Brasse Messieurs;1.009;
C2 : 30 - 34 ans;50 Papillon Dames;1.012;
C2 : 30 - 34 ans;50 Papillon Messieurs;1.002;
C2 : 30 - 34 ans;100 Papillon Dames;1.014;
C2 : 30 - 34 ans;100 Papillon Messieurs;1.002;
C2 : 30 - 34 ans;200 Papillon Dames;1.017;
C2 : 30 - 34 ans;200 Papillon Messieurs;1.009;
C2 : 30 - 34 ans;100 4 Nages Dames;1.012;
C2 : 30 - 34 ans;100 4 Nages Messieurs;1.011;
C2 : 30 - 34 ans;200 4 Nages Dames;1.013;
C2 : 30 - 34 ans;200 4 Nages Messieurs;1.008;
C2 : 30 - 34 ans;400 4 Nages Dames;1.011;
C2 : 30 - 34 ans;400 4 Nages Messieurs;1.009;
C3 : 35 - 39 ans;50 Nage Libre Dames;1.018;
C3 : 35 - 39 ans;50 Nage Libre Messieurs;1.015;
C3 : 35 - 39 ans;100 Nage Libre Dames;1.025;
C3 : 35 - 39 ans;100 Nage Libre Messieurs;1.017;
C3 : 35 - 39 ans;200 Nage Libre Dames;1.027;
C3 : 35 - 39 ans;200 Nage Libre Messieurs;1.018;
C3 : 35 - 39 ans;400 Nage Libre Dames;1.026;
C3 : 35 - 39 ans;400 Nage Libre Messieurs;1.016;
C3 : 35 - 39 ans;800 Nage Libre Dames;1.032;
C3 : 35 - 39 ans;800 Nage Libre Messieurs;1.014;
C3 : 35 - 39 ans;1500 Nage Libre Dames;1.035;
C3 : 35 - 39 ans;1500 Nage Libre Messieurs;1.010;
C3 : 35 - 39 ans;50 Dos Dames;1.029;
C3 : 35 - 39 ans;50 Dos Messieurs;1.027;
C3 : 35 - 39 ans;100 Dos Dames;1.034;
C3 : 35 - 39 ans;100 Dos Messieurs;1.030;
C3 : 35 - 39 ans;200 Dos Dames;1.035;
C3 : 35 - 39 ans;200 Dos Messieurs;1.029;
C3 : 35 - 39 ans;50 Brasse Dames;1.029;
C3 : 35 - 39 ans;50 Brasse Messieurs;1.017;
C3 : 35 - 39 ans;100 Brasse Dames;1.029;
C3 : 35 - 39 ans;100 Brasse Messieurs;1.018;
C3 : 35 - 39 ans;200 Brasse Dames;1.030;
C3 : 35 - 39 ans;200 Brasse Messieurs;1.022;
C3 : 35 - 39 ans;50 Papillon Dames;1.031;
C3 : 35 - 39 ans;50 Papillon Messieurs;1.008;
C3 : 35 - 39 ans;100 Papillon Dames;1.036;
C3 : 35 - 39 ans;100 Papillon Messieurs;1.004;
C3 : 35 - 39 ans;200 Papillon Dames;1.042;
C3 : 35 - 39 ans;200 Papillon Messieurs;1.024;
C3 : 35 - 39 ans;100 4 Nages Dames;1.030;
C3 : 35 - 39 ans;100 4 Nages Messieurs;1.026;
C3 : 35 - 39 ans;200 4 Nages Dames;1.032;
C3 : 35 - 39 ans;200 4 Nages Messieurs;1.021;
C3 : 35 - 39 ans;400 4 Nages Dames;1.030;
C3 : 35 - 39 ans;400 4 Nages Messieurs;1.023;
C4 : 40 - 44 ans;50 Nage Libre Dames;1.035;
C4 : 40 - 44 ans;50 Nage Libre Messieurs;1.029;
C4 : 40 - 44 ans;100 Nage Libre Dames;1.047;
C4 : 40 - 44 ans;100 Nage Libre Messieurs;1.032;
C4 : 40 - 44 ans;200 Nage Libre Dames;1.050;
C4 : 40 - 44 ans;200 Nage Libre Messieurs;1.034;
C4 : 40 - 44 ans;400 Nage Libre Dames;1.049;
C4 : 40 - 44 ans;400 Nage Libre Messieurs;1.032;
C4 : 40 - 44 ans;800 Nage Libre Dames;1.059;
C4 : 40 - 44 ans;800 Nage Libre Messieurs;1.029;
C4 : 40 - 44 ans;1500 Nage Libre Dames;1.064;
C4 : 40 - 44 ans;1500 Nage Libre Messieurs;1.023;
C4 : 40 - 44 ans;50 Dos Dames;1.053;
C4 : 40 - 44 ans;50 Dos Messieurs;1.048;
C4 : 40 - 44 ans;100 Dos Dames;1.061;
C4 : 40 - 44 ans;100 Dos Messieurs;1.054;
C4 : 40 - 44 ans;200 Dos Dames;1.062;
C4 : 40 - 44 ans;200 Dos Messieurs;1.052;
C4 : 40 - 44 ans;50 Brasse Dames;1.052;
C4 : 40 - 44 ans;50 Brasse Messieurs;1.032;
C4 : 40 - 44 ans;100 Brasse Dames;1.054;
C4 : 40 - 44 ans;100 Brasse Messieurs;1.034;
C4 : 40 - 44 ans;200 Brasse Dames;1.054;
C4 : 40 - 44 ans;200 Brasse Messieurs;1.041;
C4 : 40 - 44 ans;50 Papillon Dames;1.057;
C4 : 40 - 44 ans;50 Papillon Messieurs;1.020;
C4 : 40 - 44 ans;100 Papillon Dames;1.068;
C4 : 40 - 44 ans;100 Papillon Messieurs;1.016;
C4 : 40 - 44 ans;200 Papillon Dames;1.077;
C4 : 40 - 44 ans;200 Papillon Messieurs;1.047;
C4 : 40 - 44 ans;100 4 Nages Dames;1.055;
C4 : 40 - 44 ans;100 4 Nages Messieurs;1.047;
C4 : 40 - 44 ans;200 4 Nages Dames;1.059;
C4 : 40 - 44 ans;200 4 Nages Messieurs;1.041;
C4 : 40 - 44 ans;400 4 Nages Dames;1.056;
C4 : 40 - 44 ans;400 4 Nages Messieurs;1.043;
C5 : 45 - 49 ans;50 Nage Libre Dames;1.060;
C5 : 45 - 49 ans;50 Nage Libre Messieurs;1.048;
C5 : 45 - 49 ans;100 Nage Libre Dames;1.078;
C5 : 45 - 49 ans;100 Nage Libre Messieurs;1.053;
C5 : 45 - 49 ans;200 Nage Libre Dames;1.082;
C5 : 45 - 49 ans;200 Nage Libre Messieurs;1.057;
C5 : 45 - 49 ans;400 Nage Libre Dames;1.081;
C5 : 45 - 49 ans;400 Nage Libre Messieurs;1.054;
C5 : 45 - 49 ans;800 Nage Libre Dames;1.094;
C5 : 45 - 49 ans;800 Nage Libre Messieurs;1.050;
C5 : 45 - 49 ans;1500 Nage Libre Dames;1.101;
C5 : 45 - 49 ans;1500 Nage Libre Messieurs;1.043;
C5 : 45 - 49 ans;50 Dos Dames;1.085;
C5 : 45 - 49 ans;50 Dos Messieurs;1.076;
C5 : 45 - 49 ans;100 Dos Dames;1.096;
C5 : 45 - 49 ans;100 Dos Messieurs;1.084;
C5 : 45 - 49 ans;200 Dos Dames;1.099;
C5 : 45 - 49 ans;200 Dos Messieurs;1.082;
C5 : 45 - 49 ans;50 Brasse Dames;1.084;
C5 : 45 - 49 ans;50 Brasse Messieurs;1.054;
C5 : 45 - 49 ans;100 Brasse Dames;1.086;
C5 : 45 - 49 ans;100 Brasse Messieurs;1.057;
C5 : 45 - 49 ans;200 Brasse Dames;1.087;
C5 : 45 - 49 ans;200 Brasse Messieurs;1.067;
C5 : 45 - 49 ans;50 Papillon Dames;1.093;
C5 : 45 - 49 ans;50 Papillon Messieurs;1.040;
C5 : 45 - 49 ans;100 Papillon Dames;1.111;
